keyword,original_keyword,status,cluster,suggested_content_type,suggested_url,reason,kd,volume,traffic_potential,cpc,priority_tier,reject_reason,caution_flag
mk 4 supplement,mk 4 supplement,New category candidate,Vitamin D,category hub,/supplements/vitamin-d,strong human supplement category,4,20,150,0.00,Tier 2 — strong next category,,
supplement potassium,supplement potassium,New category candidate,Potassium / Electrolytes minerals,category hub,/supplements/potassium,strong human supplement category,2,20,12000,,Tier 2 — strong next category,,
best yucca supplement,best yucca supplement,New category candidate,Yucca,category hub,/supplements/yucca,strong human supplement category,2,20,70,0.15,Tier 2 — strong next category,,
7 supplement,7 supplement,Keep,Uncategorized,guide,,general supplement research intent,0,10,1300,1.30,Tier 2 — strong next category,,
digestive enzymes supplement,digestive enzymes supplement,Caution,Digestive Enzymes,category hub,/supplements/digestive-enzymes,strong human supplement category; conservative framing required,6,1700,1900,1.00,Tier 3 — useful later,,Caution — requires conservative framing
vitamin d supplement for kids,vitamin d supplement for kids,Caution,Vitamin D,category hub,/supplements/vitamin-d,strong human supplement category; conservative framing required,9,600,350,,Tier 3 — useful later,,Caution — requires conservative framing
what supplements cause constipation,what supplements cause constipation,New category candidate,General supplement education,category hub,,strong human supplement category,4,400,3700,0.03,Tier 3 — useful later,,
vitamin c supplement for kids,vitamin c supplement for kids,Caution,Vitamin C,category hub,/supplements/vitamin-c,strong human supplement category; conservative framing required,3,100,700,,Tier 3 — useful later,,Caution — requires conservative framing
which supplements cause constipation,which supplements cause constipation,New category candidate,General supplement education,category hub,,strong human supplement category,4,70,5100,,Tier 3 — useful later,,
ip 6 supplement,ip 6 supplement,Keep,Uncategorized,guide,,general supplement research intent,7,50,800,,Tier 3 — useful later,,
supplement hmb,supplement hmb,New category candidate,HMB,category hub,/supplements/hmb,strong human supplement category,9,40,10000,,Tier 3 — useful later,,
how many supplements is too many,how many supplements is too many,New category candidate,General supplement education,category hub,,strong human supplement category,9,40,20,0.03,Tier 3 — useful later,,
pomi t supplement,pomi t supplement,Keep,Uncategorized,guide,,general supplement research intent,2,30,200,0.35,Tier 3 — useful later,,
supplement energy,supplement energy,Caution,Uncategorized,guide,,general supplement research intent; conservative framing required,7,30,29000,0.50,Tier 3 — useful later,,Caution — requires conservative framing
omega 3 dosage for kids,omega 3 dosage for kids,Caution,Fish Oil / Omega-3,category hub,/supplements/omega-3,strong human supplement category; conservative framing required,6,30,,,Tier 3 — useful later,,Caution — requires conservative framing
what supplements do pro athletes take,what supplements do pro athletes take,New category candidate,General supplement education,category hub,,strong human supplement category,4,10,4400,,Tier 3 — useful later,,
supplement store near me,supplement store near me,Reject,,reject,,Reject — local/store/coupon intent,3,29000,7900,0.30,Avoid / reject,local/store/coupon intent,
supplement superstore,supplement superstore,Reject,,reject,,Reject — local/store/coupon intent,0,5500,6900,0.10,Avoid / reject,local/store/coupon intent,
mots c dosage,mots c dosage,Reject,,reject,,Reject — high-risk medical/gray-area intent,5,5400,4500,2.00,Avoid / reject,high-risk medical/gray-area intent,
im8 supplement,im8 supplement,Reject,,reject,,Reject — high-risk medical/gray-area intent,1,2600,5000,0.20,Avoid / reject,high-risk medical/gray-area intent,
supplement xpress,supplement xpress,Reject,,reject,,Reject — local/store/coupon intent,0,1600,450,1.80,Avoid / reject,local/store/coupon intent,
supplement for joints,supplement for joints,Reject,,reject,,Reject — disease-treatment intent,10,1600,14000,1.00,Avoid / reject,disease-treatment intent,
best supplement for liver health,best supplement for liver health,Reject,,reject,,Reject — disease-treatment intent,7,900,38000,0.90,Avoid / reject,disease-treatment intent,
supplement shops near me,supplement shops near me,Reject,,reject,,Reject — local/store/coupon intent,5,900,5500,0.40,Avoid / reject,local/store/coupon intent,
mitoq supplement,mitoq supplement,Reject,,reject,,Reject — high-risk medical/gray-area intent,8,800,300,0.50,Avoid / reject,high-risk medical/gray-area intent,
supplement giant,supplement giant,Reject,,reject,,Reject — local/store/coupon intent,0,800,2000,0.50,Avoid / reject,local/store/coupon intent,
vitamin e supplement for horses,vitamin e supplement for horses,Reject,,reject,,Reject — non-human supplement intent,1,600,600,0.80,Avoid / reject,non-human supplement intent,
supplement for inflammation,supplement for inflammation,Reject,,reject,,Reject — disease-treatment intent,10,600,9600,0.07,Avoid / reject,disease-treatment intent,
best zinc supplement for acne,best zinc supplement for acne,Reject,,reject,,Reject — disease-treatment intent,5,500,250,1.20,Avoid / reject,disease-treatment intent,
best supplement for bloating,best supplement for bloating,Reject,,reject,,Reject — disease-treatment intent,1,500,100,1.00,Avoid / reject,disease-treatment intent,
best joint supplement for horses,best joint supplement for horses,Reject,,reject,,Reject — non-human supplement intent,4,450,1100,1.10,Avoid / reject,non-human supplement intent,
nmnh supplement,nmnh supplement,Reject,,reject,,Reject — high-risk medical/gray-area intent,0,400,150,0.50,Avoid / reject,high-risk medical/gray-area intent,
best supplement for fatty liver,best supplement for fatty liver,Reject,,reject,,Reject — disease-treatment intent,7,400,38000,1.00,Avoid / reject,disease-treatment intent,
supplement for kidney health,supplement for kidney health,Reject,,reject,,Reject — disease-treatment intent,3,350,9500,0.45,Avoid / reject,disease-treatment intent,
cloud 9 supplement,cloud 9 supplement,Reject,,reject,,Reject — high-risk medical/gray-area intent,0,350,200,0.90,Avoid / reject,high-risk medical/gray-area intent,
best supplement for liver,best supplement for liver,Reject,,reject,,Reject — disease-treatment intent,8,300,38000,1.30,Avoid / reject,disease-treatment intent,
supplement stacks,supplement stacks,Reject,,reject,,Reject — disease-treatment intent,3,300,400,1.00,Avoid / reject,disease-treatment intent,
what supplements help with inflammation,what supplements help with inflammation,Reject,,reject,,Reject — disease-treatment intent,10,300,9600,0.04,Avoid / reject,disease-treatment intent,
what supplements are good for the liver,what supplements are good for the liver,Reject,,reject,,Reject — disease-treatment intent,8,250,43000,0.60,Avoid / reject,disease-treatment intent,
what supplements help with bloating,what supplements help with bloating,Reject,,reject,,Reject — disease-treatment intent,0,250,3200,0.50,Avoid / reject,disease-treatment intent,
supplement gummies,supplement gummies,Reject,,reject,,Reject — not a supplement content fit,7,250,200,1.20,Avoid / reject,not a supplement fit,
5 best supplements for lymphedema,5 best supplements for lymphedema,Reject,,reject,,Reject — disease-treatment intent,0,250,900,0.35,Avoid / reject,disease-treatment intent,
supplement powder,supplement powder,Reject,,reject,,Reject — not a supplement content fit,4,250,14000,1.30,Avoid / reject,not a supplement fit,
supplement manufacturing partner,supplement manufacturing partner,Reject,,reject,,Reject — not a supplement content fit,3,200,150,1.70,Avoid / reject,not a supplement fit,
best yohimbe supplement,best yohimbe supplement,Reject,,reject,,Reject — high-risk medical/gray-area intent,1,200,3100,0.80,Avoid / reject,high-risk medical/gray-area intent,
best supplement stack for muscle growth,best supplement stack for muscle growth,Reject,,reject,,Reject — disease-treatment intent,4,200,3200,2.50,Avoid / reject,disease-treatment intent,
supplement containers,supplement containers,Reject,,reject,,Reject — not a supplement content fit,0,200,150,0.35,Avoid / reject,not a supplement fit,
supplement bottles,supplement bottles,Reject,,reject,,Reject — not a supplement content fit,0,200,100,1.40,Avoid / reject,not a supplement fit,
supplement dropshipping,supplement dropshipping,Reject,,reject,,Reject — not a supplement content fit,6,200,1300,1.70,Avoid / reject,not a supplement fit,
best supplement for stress,best supplement for stress,Reject,,reject,,Reject — disease-treatment intent,7,200,28000,0.80,Avoid / reject,disease-treatment intent,
maggie q supplements,maggie q supplements,Reject,,reject,,Reject — high-risk medical/gray-area intent,4,200,3700,0.40,Avoid / reject,high-risk medical/gray-area intent,
9 best supplements for hashimoto's,9 best supplements for hashimoto's,Reject,,reject,,Reject — disease-treatment intent,6,200,70,0.20,Avoid / reject,disease-treatment intent,
athlean x supplements,athlean x supplements,Reject,,reject,,Reject — not a supplement content fit,1,200,300,0.90,Avoid / reject,not a supplement fit,
best nmn supplement 1000mg,best nmn supplement 1000mg,Reject,,reject,,Reject — high-risk medical/gray-area intent,6,200,150,0.90,Avoid / reject,high-risk medical/gray-area intent,
supplement quiz,supplement quiz,Reject,,reject,,Reject — not a supplement content fit,10,200,9900,0.70,Avoid / reject,not a supplement fit,
best urinary supplement for dogs,best urinary supplement for dogs,Reject,,reject,,Reject — non-human supplement intent,0,150,150,0.40,Avoid / reject,non-human supplement intent,
5 supplements,5 supplements,Reject,,reject,,Reject — not a supplement content fit,2,150,10,1.50,Avoid / reject,not a supplement fit,
neuroq supplement,neuroq supplement,Reject,,reject,,Reject — high-risk medical/gray-area intent,0,150,1100,0.50,Avoid / reject,high-risk medical/gray-area intent,
supplement labels,supplement labels,Reject,,reject,,Reject — not a supplement content fit,2,150,350,3.50,Avoid / reject,not a supplement fit,
supplement ads,supplement ads,Reject,,reject,,Reject — not a supplement content fit,0,150,40,1.60,Avoid / reject,not a supplement fit,
best supplement for weight gain,best supplement for weight gain,Reject,,reject,,Reject — disease-treatment intent,5,150,3700,0.25,Avoid / reject,disease-treatment intent,
best vitamin e supplement for horses,best vitamin e supplement for horses,Reject,,reject,,Reject — non-human supplement intent,0,150,400,0.90,Avoid / reject,non-human supplement intent,
supplement affiliate programs,supplement affiliate programs,Reject,,reject,,Reject — not a supplement content fit,6,150,300,1.20,Avoid / reject,not a supplement fit,
supplement to lower triglycerides,supplement to lower triglycerides,Reject,,reject,,Reject — disease-treatment intent,6,100,17000,0.45,Avoid / reject,disease-treatment intent,
supplement g,supplement g,Reject,,reject,,Reject — not a supplement content fit,3,100,6300,1.50,Avoid / reject,not a supplement fit,
supplement drinks for seniors,supplement drinks for seniors,Reject,,reject,,Reject — not a supplement content fit,2,100,1600,0.80,Avoid / reject,not a supplement fit,
supplement to build muscle,supplement to build muscle,Reject,,reject,,Reject — disease-treatment intent,8,100,2000,0.35,Avoid / reject,disease-treatment intent,
supplement dispenser,supplement dispenser,Reject,,reject,,Reject — not a supplement content fit,0,100,600,0.60,Avoid / reject,not a supplement fit,
best supplement stack for weight loss,best supplement stack for weight loss,Reject,,reject,,Reject — disease-treatment intent,0,100,400,3.00,Avoid / reject,disease-treatment intent,
supplement to reduce cholesterol,supplement to reduce cholesterol,Reject,,reject,,Reject — disease-treatment intent,7,100,17000,0.80,Avoid / reject,disease-treatment intent,
best supplement stack for men,best supplement stack for men,Reject,,reject,,Reject — disease-treatment intent,3,100,3200,1.70,Avoid / reject,disease-treatment intent,
supplement hunt discount code,supplement hunt discount code,Reject,,reject,,Reject — local/store/coupon intent,0,100,100,0.45,Avoid / reject,local/store/coupon intent,
supplement to reduce inflammation,supplement to reduce inflammation,Reject,,reject,,Reject — disease-treatment intent,8,100,9600,0.04,Avoid / reject,disease-treatment intent,
best supplement stack,best supplement stack,Reject,,reject,,Reject — disease-treatment intent,3,100,3400,1.50,Avoid / reject,disease-treatment intent,
supplement to gain weight,supplement to gain weight,Reject,,reject,,Reject — disease-treatment intent,1,100,5200,0.15,Avoid / reject,disease-treatment intent,
best supplement stack for overall health,best supplement stack for overall health,Reject,,reject,,Reject — disease-treatment intent,3,90,100,,Avoid / reject,disease-treatment intent,
supplement box,supplement box,Reject,,reject,,Reject — not a supplement content fit,7,90,250,0.35,Avoid / reject,not a supplement fit,
supplement glutathione,supplement glutathione,Reject,,reject,,Reject — high-risk medical/gray-area intent,5,90,17000,0.90,Avoid / reject,high-risk medical/gray-area intent,
best sam e supplement,best sam e supplement,Reject,,reject,,Reject — high-risk medical/gray-area intent,3,90,250,0.40,Avoid / reject,high-risk medical/gray-area intent,
best supplement hair growth,best supplement hair growth,Reject,,reject,,Reject — disease-treatment intent,4,90,8900,,Avoid / reject,disease-treatment intent,
vitamin u supplement,vitamin u supplement,Reject,,reject,,Reject — high-risk medical/gray-area intent,3,80,400,1.00,Avoid / reject,high-risk medical/gray-area intent,
best vitamin c supplement uk,best vitamin c supplement uk,Reject,,reject,,Reject — local/store/coupon intent,5,80,16000,0.20,Avoid / reject,non-US geo intent,
best 5htp supplement,best 5htp supplement,Reject,,reject,,Reject — high-risk medical/gray-area intent,0,80,30,0.40,Avoid / reject,high-risk medical/gray-area intent,
supplement examples,supplement examples,Reject,,reject,,Reject — not a supplement content fit,9,80,1500,,Avoid / reject,not a supplement fit,
best supplement to reduce inflammation,best supplement to reduce inflammation,Reject,,reject,,Reject — disease-treatment intent,10,80,4200,0.50,Avoid / reject,disease-treatment intent,
symplex f supplement,symplex f supplement,Reject,,reject,,Reject — high-risk medical/gray-area intent,0,80,1100,1.10,Avoid / reject,high-risk medical/gray-area intent,
best zinc supplement uk,best zinc supplement uk,Reject,,reject,,Reject — local/store/coupon intent,2,70,30,,Avoid / reject,non-US geo intent,
supplement warehouse coupon code,supplement warehouse coupon code,Reject,,reject,,Reject — local/store/coupon intent,0,60,500,2.00,Avoid / reject,local/store/coupon intent,
best supplement for muscle gain,best supplement for muscle gain,Reject,,reject,,Reject — disease-treatment intent,8,60,5200,0.80,Avoid / reject,disease-treatment intent,
supplement emma,supplement emma,Reject,,reject,,Reject — high-risk medical/gray-area intent,1,60,15000,,Avoid / reject,high-risk medical/gray-area intent,
best berberine supplement 500 mg,best berberine supplement 500 mg,Reject,,reject,,Reject — high-risk medical/gray-area intent,4,60,600,0.70,Avoid / reject,high-risk medical/gray-area intent,
supplement good for liver,supplement good for liver,Reject,,reject,,Reject — disease-treatment intent,8,60,38000,1.10,Avoid / reject,disease-treatment intent,
supplement after gallbladder removal,supplement after gallbladder removal,Reject,,reject,,Reject — disease-treatment intent,0,60,2200,0.45,Avoid / reject,disease-treatment intent,
supplement warehouse near me,supplement warehouse near me,Reject,,reject,,Reject — local/store/coupon intent,0,50,0,2.00,Avoid / reject,local/store/coupon intent,
supplement superstore hours,supplement superstore hours,Reject,,reject,,Reject — local/store/coupon intent,0,50,8200,,Avoid / reject,local/store/coupon intent,
vitamin k dosage for dogs rat poison,vitamin k dosage for dogs rat poison,Reject,,reject,,Reject — non-human supplement intent,4,50,300,3.00,Avoid / reject,non-human supplement intent,
best supplement drink for seniors,best supplement drink for seniors,Reject,,reject,,Reject — not a supplement content fit,0,50,8100,0.10,Avoid / reject,not a supplement fit,
supplement places near me,supplement places near me,Reject,,reject,,Reject — local/store/coupon intent,0,50,70,,Avoid / reject,local/store/coupon intent,
supplement xpress el paso tx,supplement xpress el paso tx,Reject,,reject,,Reject — local/store/coupon intent,0,50,450,10.00,Avoid / reject,local/store/coupon intent,
supplement xpress near me,supplement xpress near me,Reject,,reject,,Reject — local/store/coupon intent,0,50,450,10.00,Avoid / reject,local/store/coupon intent,
supplement storage,supplement storage,Reject,,reject,,Reject — not a supplement content fit,0,50,200,0.30,Avoid / reject,not a supplement fit,
supplement hut,supplement hut,Reject,,reject,,Reject — local/store/coupon intent,2,50,2200,1.40,Avoid / reject,local/store/coupon intent,
best supplement after gallbladder removal,best supplement after gallbladder removal,Reject,,reject,,Reject — disease-treatment intent,0,40,2500,0.45,Avoid / reject,disease-treatment intent,
supplement superstore springfield missouri,supplement superstore springfield missouri,Reject,,reject,,Reject — local/store/coupon intent,0,40,17000,,Avoid / reject,local/store/coupon intent,
supplement bottle organizer,supplement bottle organizer,Reject,,reject,,Reject — not a supplement content fit,0,40,50,0.35,Avoid / reject,not a supplement fit,
blood type o supplements,blood type o supplements,Reject,,reject,,Reject — not a supplement content fit,7,30,20,,Avoid / reject,not a supplement fit,
supplement quotes,supplement quotes,Reject,,reject,,Reject — not a supplement content fit,0,30,10,,Avoid / reject,not a supplement fit,
supplement jars,supplement jars,Reject,,reject,,Reject — not a supplement content fit,0,30,100,1.90,Avoid / reject,not a supplement fit,
best supplements for h pylori,best supplements for h pylori,Reject,,reject,,Reject — disease-treatment intent,0,30,100,0.40,Avoid / reject,disease-treatment intent,
best igf 1 supplement,best igf 1 supplement,Reject,,reject,,Reject — high-risk medical/gray-area intent,5,30,200,2.50,Avoid / reject,high-risk medical/gray-area intent,
supplement hs code,supplement hs code,Reject,,reject,,Reject — not a supplement content fit,0,30,30,,Avoid / reject,not a supplement fit,
supplement vitamin store near me,supplement vitamin store near me,Reject,,reject,,Reject — local/store/coupon intent,1,30,0,1.30,Avoid / reject,local/store/coupon intent,
supplement dhea,supplement dhea,Reject,,reject,,Reject — high-risk medical/gray-area intent,10,30,12000,0.60,Avoid / reject,high-risk medical/gray-area intent,
best supplement organizer,best supplement organizer,Reject,,reject,,Reject — not a supplement content fit,7,30,9000,0.40,Avoid / reject,not a supplement fit,
supplement gaba,supplement gaba,Reject,,reject,,Reject — high-risk medical/gray-area intent,0,30,39000,0.00,Avoid / reject,high-risk medical/gray-area intent,
best ip6 supplement,best ip6 supplement,Reject,,reject,,Reject — high-risk medical/gray-area intent,0,30,10,0.20,Avoid / reject,high-risk medical/gray-area intent,
bacillus f supplement,bacillus f supplement,Reject,,reject,,Reject — high-risk medical/gray-area intent,1,20,300,,Avoid / reject,high-risk medical/gray-area intent,
supplement jobs,supplement jobs,Reject,,reject,,Reject — not a supplement content fit,0,20,20,0.45,Avoid / reject,not a supplement fit,
i supplements,i supplements,Reject,,reject,,Reject — local/store/coupon intent,3,20,20,1.80,Avoid / reject,local/store/coupon intent,
best l glutamine supplement for gut,best l glutamine supplement for gut,Reject,,reject,,Reject — not a supplement content fit,3,20,300,,Avoid / reject,not a supplement fit,
best 7 keto dhea supplement,best 7 keto dhea supplement,Reject,,reject,,Reject — high-risk medical/gray-area intent,2,20,60,0.25,Avoid / reject,high-risk medical/gray-area intent,
best supplements for type 1 diabetes,best supplements for type 1 diabetes,Reject,,reject,,Reject — disease-treatment intent,10,20,10,1.10,Avoid / reject,disease-treatment intent,
n supplement,n supplement,Reject,,reject,,Reject — not a supplement content fit,7,20,2300,0.60,Avoid / reject,not a supplement fit,
maggie q supplements review,maggie q supplements review,Reject,,reject,,Reject — high-risk medical/gray-area intent,0,20,1200,,Avoid / reject,high-risk medical/gray-area intent,
what supplements should i take to get ripped,what supplements should i take to get ripped,Reject,,reject,,Reject — disease-treatment intent,1,20,10,0.50,Avoid / reject,disease-treatment intent,
best supplement joint pain,best supplement joint pain,Reject,,reject,,Reject — disease-treatment intent,6,20,5200,,Avoid / reject,disease-treatment intent,
supplement organizer ideas,supplement organizer ideas,Reject,,reject,,Reject — not a supplement content fit,0,10,80,0.40,Avoid / reject,not a supplement fit,
best vitamin b supplement australia,best vitamin b supplement australia,Reject,,reject,,Reject — local/store/coupon intent,5,10,700,,Avoid / reject,non-US geo intent,
stress j supplement,stress j supplement,Reject,,reject,,Reject — high-risk medical/gray-area intent,0,10,70,,Avoid / reject,high-risk medical/gray-area intent,
all n supplements,all n supplements,Reject,,reject,,Reject — local/store/coupon intent,0,10,60,,Avoid / reject,local/store/coupon intent,
supplement kingdom,supplement kingdom,Reject,,reject,,Reject — local/store/coupon intent,0,10,10,,Avoid / reject,local/store/coupon intent,
f&h supplements,f&h supplements,Reject,,reject,,Reject — local/store/coupon intent,9,10,0,,Avoid / reject,local/store/coupon intent,
